dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
sleep,gru,seg,objective_e20_bs32_eval5,seg1,180.0,0.6733888857507636,0.01124439026944245,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,180.0,0.7186996345768707,0.007637620504470803,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,240.0,0.7128433497481451,0.013604967781223267,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,240.0,0.7650463829239692,0.004506852966281735,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,300.0,0.7386783503159952,0.013720071579284131,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,300.0,0.7970360565200764,0.005306590740509575,3
sleep,gru,seg,objective_e20_bs32_eval5,seg1,360.0,0.7590984799115358,0.014144214401963399,3
sleep,gru,seg,objective_e20_bs32_eval5,seg2,360.0,0.8206192693545717,0.00412819498697134,3
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,12.0,0.0091782371477531,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,12.0,0.0401552187640017,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,36.0,0.088356683586917,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,36.0,0.1967726134565945,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,60.0,0.2120620215029113,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,60.0,0.3371139642688161,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,90.0,0.3478693242256237,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,90.0,0.4554660442524797,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,120.0,0.4462263931325012,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,120.0,0.5379024960569261,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,150.0,0.5156056292375615,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,150.0,0.6127925866549736,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,180.0,0.5572360257223761,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,180.0,0.6598341949129181,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,240.0,0.6190938589891695,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,240.0,0.7309740268384599,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,300.0,0.650905762129762,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,300.0,0.7737397849076424,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal1,360.0,0.6735429604216161,,1
sleep,gru,seg_focal,objective_e20_bs32_eval5,seg_focal2,360.0,0.7974102510492742,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,12.0,0.0555832025595049,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,12.0,0.052767514408881,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,36.0,0.2493547303214612,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,36.0,0.2498346932625323,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,60.0,0.3898749244015245,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,60.0,0.4018791435254511,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,90.0,0.5033881336139535,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,90.0,0.5173209002285452,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,120.0,0.5774622165588115,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,120.0,0.5970651307062947,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,150.0,0.63274387057718,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,150.0,0.6556921148798409,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,180.0,0.6707023953710514,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,180.0,0.6953238767918413,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,240.0,0.7194639464018113,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,240.0,0.7513956971552833,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,300.0,0.750198094620993,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,300.0,0.7868587821526847,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted1,360.0,0.7730587991734379,,1
sleep,gru,seg_weighted,objective_e20_bs32_eval5,seg_weighted2,360.0,0.8100684104572953,,1
