phase,name,status,dataset,model,objective,seed,run_tag,target_epochs,target_folds,target_batch_size,target_eval_every,completed_folds,actual_epochs,actual_batch_size,actual_eval_every,lr,density_prior,mean_best_epoch,mean_valid_mAP,mean_valid_loss,tuned_mAP,tuned_mf1,score_required,purpose,run_dir
P3,core_model_main_table,scored,sleep,gru,density_hard,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,20.0,0.6646203911072995,0.00162908841497775,0.670474923063441,0.723547847391744,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/density_hard/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,density_hard,1,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,20.0,0.6772295290018386,0.0016290516160960252,0.6855994376120669,0.7261896430868044,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/density_hard/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,density_hard,2,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,20.0,0.6794522927763522,0.0016045339527224,0.683004424421913,0.7325707001877424,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/density_hard/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,hard,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,18.75,0.6092770480517243,6.434892046559549,0.5855950637607844,0.6897055331455744,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/hard/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,hard,1,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,18.75,0.633430209638749,6.400636805769819,0.6157274880293608,0.7030512093664327,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/hard/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,hard,2,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,18.75,0.6006298432143042,6.439422217258262,0.5960226572603868,0.690314075833622,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/hard/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,seg,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,18.75,0.4391626806676997,0.12586380438850203,0.5708911028714023,0.6600968076746483,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/seg/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,seg,1,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,18.75,0.4170128460358195,0.12342067440859893,0.5767763385764865,0.6618785529799798,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/seg/seed_1_objective_e20_bs32_eval5
P3,core_model_main_table,scored,sleep,gru,seg,2,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,17.5,0.47754334443847524,0.12348408126749486,0.5784484520481392,0.6575913289174622,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/gru/seg/seed_2_objective_e20_bs32_eval5
P3,core_model_main_table,trained,sleep,unet,density_hard,0,objective_e20_bs32_eval5,20,4,32,5,4.0,20.0,32.0,5.0,0.003,sparse,20.0,0.5718903900698535,0.0017359713151964252,,,True,Main table: density likelihood versus strongest non-density baselines.,experiments/sleep/unet/density_hard/seed_0_objective_e20_bs32_eval5
P3,core_model_main_table,pending,sleep,unet,density_hard,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,density_hard,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,hard,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,hard,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,hard,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,seg,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,seg,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet,seg,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,density_hard,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,density_hard,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,density_hard,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,hard,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,hard,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,hard,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,seg,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,seg,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,unet_t,seg,2,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,density_hard,0,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
P3,core_model_main_table,pending,sleep,prectime,density_hard,1,objective_e20_bs32_eval5,20,4,32,5,,,,,,,,,,,,True,Main table: density likelihood versus strongest non-density baselines.,
