dataset,model,objective,run_tag,smooth,scale,initial_prob,threshold,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,macro_f1_mean,macro_f1_std,macro_f1_count,iou_mean,iou_std,iou_count,accuracy_mean,accuracy_std,accuracy_count,brier_mean,brier_std,brier_count,pred_positive_rate_mean,pred_positive_rate_std,pred_positive_rate_count,abs_transition_count_error_mean,abs_transition_count_error_std,abs_transition_count_error_count,objective_label
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.0,0.8,0.8348879775411668,0.003785110977152343,3,0.8947902864732059,0.011724498637993097,3,0.8637684407051526,0.005156950553470551,3,0.9094361268014612,0.0032424787871215754,3,0.7602286946750709,0.007968216772137195,3,0.9324654206477999,0.002153355369624172,3,0.1067909213145062,0.010421410085362378,3,0.2564944706363917,0.0039184280980218015,3,1737.0,64.11708040764177,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.2393167939518393,0.8,0.8347731306676626,0.003796131909372732,3,0.8948478654384046,0.011755786745592548,3,0.8637336641852785,0.00517570851945604,3,0.9094099092054165,0.0032547287264409436,3,0.7601749951686512,0.007996630770622532,3,0.9324411728010514,0.0021622280297018746,3,0.10737478824968899,0.010419665217086304,3,0.25654627770984106,0.003926898484291992,3,1738.3333333333333,65.27122898592714,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.5,0.8,0.8345464994220059,0.0037739445326404725,3,0.8948829038009481,0.011761825575519556,3,0.8636286846009987,0.0051760787179641965,3,0.9093353267153342,0.003254479176995518,3,0.7600123866827747,0.0079957169386194,3,0.9323782832866322,0.0021611907463907347,3,0.10873499807435962,0.010392423215673168,3,0.25662593776143877,0.003925864848256191,3,1741.6666666666667,62.96295206971582,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.0,0.75,0.819397728962895,0.0036324929433979415,3,0.912407552842649,0.006528035951947331,3,0.8633892685651844,0.002327514118422582,3,0.9085730091043924,0.0014885915612438902,3,0.759622306879664,0.003607242614864832,3,0.9309035442020087,0.0010614388564767713,3,0.1067909213145062,0.010421410085362378,3,0.2664885624936443,0.0027833394803747553,3,1862.0,25.238858928247925,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.2393167939518393,0.75,0.8192284786724761,0.0036253481707918802,3,0.9124346685181205,0.006537446971830418,3,0.8633075079721549,0.002351233429114374,3,0.9085144465435304,0.0015044900787893306,3,0.7594958401038358,0.003643534971380274,3,0.9308536064559517,0.0010729457896626075,3,0.10737478824968899,0.010419665217086304,3,0.26655147871274054,0.0027779796603970798,3,1865.3333333333333,23.713568549109883,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.5,0.75,0.8189917508399925,0.0036133061719729313,3,0.9124741703663384,0.0065643284402783645,3,0.863193658521884,0.0023550378419022007,3,0.9084328364281835,0.0015056608062576405,3,0.7593196445235013,0.00364871963740986,3,0.9307839339535655,0.0010718161466344715,3,0.10873499807435962,0.010392423215673168,3,0.26664005812646824,0.002784341987088769,3,1867.3333333333333,24.986663109213556,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,4.0,1.0,0.7000000000000001,0.8010175533401314,0.00581872846993028,3,0.9352258958941064,0.0027476265946043063,3,0.862927479808454,0.003852206692587248,3,0.9074603757713872,0.0026983457227354635,3,0.758916203141396,0.005949806549301077,3,0.928891213263978,0.0022169615708514034,3,0.09897724601695712,0.00821174223885854,3,0.279422518836411,0.001987928635276049,3,1410.3333333333333,26.633312473917556,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,1.0,0.2393167939518393,0.6000000000000001,0.8330806989907943,0.01707450150633654,3,0.8943891306982253,0.003656056230687545,3,0.862599543997316,0.010257804406217257,3,0.9086107099782949,0.007078362406444564,3,0.7584914080576066,0.015928823831401467,3,0.9317768939597867,0.0056742095282154665,3,0.13166342944518683,0.004639171009392186,3,0.25699099069651776,0.004632422358630771,3,305.6666666666667,70.74131277643448,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,2.0,1.0,0.7000000000000001,0.8224090648304269,0.0014377283474433951,3,0.9066811238967659,0.0029751793835460535,3,0.8624878676206781,0.0005818215689403317,3,0.9081320135836655,0.0003111296766431541,3,0.758223311927312,0.0008991145127847384,3,0.9308101846510916,0.0001268747356181307,3,0.10536306938607833,0.006503234134106978,3,0.2638410608123178,0.0013219470764823235,3,561.6666666666666,8.32666399786452,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.0,0.7000000000000001,0.8026915903810892,0.007025498066591841,3,0.9237344288512572,0.003910171675786917,3,0.8589587914838432,0.004733713424839811,3,0.9050372739470177,0.0032944142875233674,3,0.7528051957556912,0.007275130443589512,3,0.9273961786248074,0.002680965990341629,3,0.1067909213145062,0.010421410085362378,3,0.27541735137458584,0.00242318186434082,3,1997.0,105.05712731652241,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.2393167939518393,0.7000000000000001,0.802519950017819,0.007024607585531871,3,0.9237671238838218,0.003935942267710246,3,0.8588746456149368,0.004743581550057438,3,0.9049762365169759,0.003300763392342338,3,0.7526760260199753,0.007289232135231474,3,0.9273431965455684,0.0026854329037873446,3,0.10737478824968899,0.010419665217086304,3,0.2754859823945678,0.0024230026870699583,3,1998.3333333333333,105.10153820631422,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.5,0.7000000000000001,0.8022621998241025,0.007024709962362714,3,0.9237982566964001,0.003955177172791331,3,0.8587404498355458,0.004750046792463995,3,0.9048796203919375,0.0033051909479281457,3,0.7524699866187167,0.007297402653570839,3,0.9272603052280495,0.002688957466505217,3,0.10873499807435962,0.010392423215673168,3,0.2755837749218728,0.0024252867682884437,3,1998.3333333333333,107.09964207845574,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,2.0,1.0,0.65,0.7909006391863449,0.015213680051607358,3,0.9315000012274585,0.0017972697259532719,3,0.8554166065691754,0.009475694871145395,3,0.902211305147716,0.006737436004643429,3,0.7474405919328967,0.014481818486096676,3,0.9246055665792463,0.005660378738734539,3,0.10536306938607833,0.006503234134106978,3,0.281924827188694,0.005039362699915932,3,850.0,38.0,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,2.0,1.0,0.75,0.8436490202638098,0.006915388508141696,3,0.8653400964068271,0.005757333590383504,3,0.8543374533137739,0.003976314699191038,3,0.9038648302445426,0.002668643781024044,3,0.7457287707403281,0.006061897045579003,3,0.9293811105641994,0.0020569271891041673,3,0.10536306938607833,0.006503234134106978,3,0.24548293058407614,0.0028770675700113078,3,132.33333333333334,59.0705792534095,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,1.0,0.8,0.814626867139885,0.0031960054087755417,3,0.8951076403046508,0.011823663475383012,3,0.8529377273074729,0.004615635739160494,3,0.9018133318067507,0.002846557428364726,3,0.7436032785713284,0.006999921914986497,3,0.926143889499892,0.0018086642710892556,3,0.11345721597411458,0.01026673761649319,3,0.26296789798727915,0.0041550830102255396,3,1800.6666666666667,82.47625921035296,3,BDL-Tolerance
sleep,gru,density_custom,objective_e20_bs32_eval5,none,8.0,0.0,0.8500000000000001,0.8467277450948943,0.004084807103184951,3,0.8585675380060226,0.022987302766469892,3,0.8525020003663025,0.011607016237632068,3,0.9028544882549596,0.00724143071553686,3,0.7430407084660867,0.017540262614865555,3,0.9289560522198209,0.004668212077606668,3,0.1067909213145062,0.010421410085362378,3,0.2426664150017903,0.006590683829333308,3,1585.0,63.92964883369844,3,BDL-Tolerance
