dataset,model,objective,run_tag,seed,folds,mean_best_epoch,mean_valid_loss,mean_valid_mAP,total_runtime_sec
sleep,unet,seg,objective_e20_bs32_eval5,0,4,20.0,0.15325394891564947,0.4301795551716581,753.6151856979959
sleep,unet,seg,objective_e20_bs32_eval5,1,4,20.0,0.15309405591817063,0.43955807796830154,722.2910679170018
sleep,unet,seg,objective_e20_bs32_eval5,2,4,16.25,0.280277854515872,0.4469168519716492,868.0235098759949
sleep,unet_t,density_gau,objective_e20_bs32_eval5,0,4,17.5,0.0023927927970799,0.48652827120116904,937.512211117999
sleep,unet_t,density_gau,objective_e20_bs32_eval5,1,4,18.75,0.002734642298895975,0.45452629437693326,923.4820222130074
sleep,unet_t,density_gau,objective_e20_bs32_eval5,2,4,18.75,0.0024845931361444,0.4607014815121002,886.2443677800038
sleep,unet_t,density_hard,objective_e20_bs32_eval5,0,4,15.0,0.00231399904914115,0.4495871625704926,907.647355277004
sleep,unet_t,density_hard,objective_e20_bs32_eval5,1,4,17.5,0.0022640976828044,0.4465603663392872,900.5325382209994
sleep,unet_t,density_hard,objective_e20_bs32_eval5,2,4,20.0,0.002171825096388325,0.45395114102140155,1105.449993328999
sleep,unet_t,seg,objective_e20_bs32_eval5,0,4,18.75,0.21360036005877248,0.3361508567882072,790.6361060240015
sleep,unet_t,seg,objective_e20_bs32_eval5,1,4,17.5,0.3244708950382582,0.25200504636571497,927.1464398669923
sleep,unet_t,seg,objective_e20_bs32_eval5,2,4,15.0,0.38025942567088034,0.18039030982265883,919.7909637109915
