dataset,model,objective,run_tag,postprocess_objective,tolerance,mean,std,count
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,2560.0,0.2526841123715326,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,2560.0,0.0278982725159147,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,5120.0,0.4399243905481225,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,5120.0,0.0748632832489912,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg1,15360.0,0.6494171661979065,,1
seizure,gru_3l_128h,seg,seizure_highscore_gru3l128h_ds512_bs8_e20,seg2,15360.0,0.4602484616603272,,1
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,256.0,0.007123972619957,,1
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,512.0,0.0151051642912775,,1
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,1280.0,0.0268928043693904,,1
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,2560.0,0.0445606889292314,,1
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,5120.0,0.073796863797886,,1
seizure,unet,density_gau,seizure_main_e20_bs32_eval5,density_gau,15360.0,0.1651236194964992,,1
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,256.0,0.0040708724662598,,1
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,512.0,0.0045040932658091,,1
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,1280.0,0.0069821384511948,,1
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,2560.0,0.0093411133788279,,1
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,5120.0,0.0167137194260844,,1
seizure,unet,density_hard,seizure_main_e20_bs32_eval5,density_hard,15360.0,0.0485423060555724,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,256.0,0.0,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,256.0,0.00392638275121,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,512.0,0.0,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,512.0,0.0065895896326031,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,1280.0,0.0,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,1280.0,0.0104336814339955,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,2560.0,0.0,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,2560.0,0.0118184972857755,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,5120.0,0.0,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,5120.0,0.0297383276678561,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg1,15360.0,0.0,,1
seizure,unet,seg,seizure_main_e20_bs32_eval5,seg2,15360.0,0.0715909166481689,,1
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,12.0,0.0011868458880399666,0.00020161361334868066,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,36.0,0.011591306713657665,0.001272949296925051,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,60.0,0.028429449533627332,0.0031655870610467706,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,90.0,0.05191298627785377,0.005321485714733472,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,120.0,0.08092792031833557,0.008290986805467991,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,150.0,0.11072093760297784,0.010917498102193635,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,180.0,0.14073621795999788,0.012807184267112087,3
sleep,causal_transformer,density_hard,online_e20_bs32_eval5,density_hard,240.0,0.192588115878131,0.014690204979862856,3
